Hb_mean_channel_1,Hb_std_channel_1,Hb_mean_channel_2,Hb_std_channel_2,Hb_mean_channel_3,Hb_std_channel_3,Hb_mean_channel_4,Hb_std_channel_4,Hb_mean_channel_5,Hb_std_channel_5,Hb_mean_channel_6,Hb_std_channel_6,Hb_mean_channel_7,Hb_std_channel_7,Hb_mean_channel_8,Hb_std_channel_8,Hb_mean_channel_9,Hb_std_channel_9,Hb_mean_channel_10,Hb_std_channel_10,Hb_mean_channel_11,Hb_std_channel_11,Hb_mean_channel_12,Hb_std_channel_12,Hb_mean_channel_13,Hb_std_channel_13,Hb_mean_channel_14,Hb_std_channel_14,Hb_mean_channel_15,Hb_std_channel_15,Hb_mean_channel_16,Hb_std_channel_16,Hb_mean_channel_17,Hb_std_channel_17,Hb_mean_channel_18,Hb_std_channel_18,Hb_mean_channel_19,Hb_std_channel_19,Hb_mean_channel_20,Hb_std_channel_20,Condition,Participant,HbO_mean_channel_1,HbO_std_channel_1,HbO_mean_channel_2,HbO_std_channel_2,HbO_mean_channel_3,HbO_std_channel_3,HbO_mean_channel_4,HbO_std_channel_4,HbO_mean_channel_5,HbO_std_channel_5,HbO_mean_channel_6,HbO_std_channel_6,HbO_mean_channel_7,HbO_std_channel_7,HbO_mean_channel_8,HbO_std_channel_8,HbO_mean_channel_9,HbO_std_channel_9,HbO_mean_channel_10,HbO_std_channel_10,HbO_mean_channel_11,HbO_std_channel_11,HbO_mean_channel_12,HbO_std_channel_12,HbO_mean_channel_13,HbO_std_channel_13,HbO_mean_channel_14,HbO_std_channel_14,HbO_mean_channel_15,HbO_std_channel_15,HbO_mean_channel_16,HbO_std_channel_16,HbO_mean_channel_17,HbO_std_channel_17,HbO_mean_channel_18,HbO_std_channel_18,HbO_mean_channel_19,HbO_std_channel_19,HbO_mean_channel_20,HbO_std_channel_20,Cluster,Workload
-9.98e-05,0.000739114,-0.000154828,0.000845141,-4.8e-05,0.000792697,5.26e-05,0.000716977,0.000265751,0.000773925,0.000424513,0.000538364,0.000412685,0.000384856,0.000364843,0.000446058,0.000639358,0.001895172,0.000204899,0.001526603,0.000567135,0.000233267,0.00067153,0.000331184,0.000650545,0.000360546,0.000625845,0.000277596,0.000418148,0.000156183,0.000756312,0.000788674,0.000849666,0.000312836,0.000168273,0.000139665,0.000550228,0.000227832,0.000617893,0.000291161,Incongruent,Participant 11,-1.39e-05,0.000824124,-0.000202637,0.000845082,-0.000294523,0.000957693,-0.000278782,0.000868347,-0.000332765,0.000961191,-0.000641365,0.000566409,-0.000596162,0.000383541,-0.000550618,0.000553588,-0.000892034,0.002497721,-0.000280476,0.002004417,-0.000752239,0.000286713,-0.001046782,0.000436372,-0.00114543,0.000468667,-0.000921938,0.000333768,-0.000514791,0.000210049,-0.000903966,0.000634206,-0.001026349,0.000360011,-0.000243682,0.000146784,-0.000754965,0.000322857,-0.000707878,0.000358909,0,Low
0.000308473,0.000243347,5.74e-05,0.000123538,0.000114298,0.000102198,-0.001205249,0.001136938,-8.99e-05,0.000235028,0.000353182,0.000328223,0.000132073,0.00014056,0.000476894,0.000500091,0.000654789,0.00037957,0.000167774,0.000272595,0.002413872,0.001027294,-0.000186073,0.000525491,-0.000259916,0.000539477,-0.000519523,0.000417118,0.000215766,0.000594136,0.000409951,0.000407158,0.0004701,0.000379986,0.000303741,0.000283817,0.000268637,0.000285185,0.000212132,0.000304751,Incongruent,Participant 12,-0.000240794,0.000268387,-4.11e-05,0.000147223,-0.000133225,0.000119677,0.001392593,0.001419267,0.000131629,0.00027574,-0.000242999,0.000340197,-0.000181776,0.000161189,-0.000153967,0.000445766,-0.000571576,0.00037567,8.7e-05,0.00028025,-0.003033158,0.001325428,0.00030924,0.000679543,0.000349623,0.000704415,0.000686521,0.000545762,-0.000119831,0.000767536,-0.000121282,0.000429492,-0.000160221,0.000414075,-0.000117534,0.000311726,-8.65e-05,0.000317857,-7.85e-05,0.000346852,1,Mid
0.000134206,0.000111825,0.000106111,0.00013148,3.88e-05,0.000125329,7.42e-05,9.4e-05,7.01e-05,6.39e-05,0.001197924,0.000479013,0.00050132,0.000473313,0.002343568,0.000706327,0.001981775,0.000947392,0.001724752,0.000793226,-0.000118266,0.00011384,-0.000180342,0.000152979,-0.000216983,0.000146521,-0.000180086,0.000104634,-7.39e-05,7.22e-05,0.000211096,0.000168373,0.000124801,0.000130798,0.000136283,0.000123743,0.00011451,0.000127098,0.000210758,0.000176379,Incongruent,Participant 13,0.000137936,0.000218329,-6.23e-05,0.000142898,7.6e-05,0.000102313,3.49e-05,9.67e-05,5.23e-05,0.000116383,-0.00129049,0.000548953,-0.000346094,0.000430431,-0.002756327,0.000794969,-0.002093273,0.00102424,-0.001789012,0.000915006,0.000159546,6.77e-05,0.000143996,0.000124906,0.000181714,0.000114696,0.000173188,0.000127552,6.58e-05,7.52e-05,-5.17e-05,0.000109749,8.13e-05,0.000125835,4.92e-05,9.95e-05,0.000108945,0.000167093,3.64e-05,0.000177835,0,Low
-0.000218426,0.000264405,6.18e-06,0.000196674,-0.000618611,0.000502365,-7.25e-05,0.00029622,0.000140099,0.00028981,0.000539787,0.001261469,-0.001134268,0.00131286,0.000321774,0.000427122,3.53e-05,0.00027018,-0.000859023,0.000497138,0.000179951,0.000414992,-2.09e-05,0.000419822,4.45e-05,0.000444024,0.000350691,0.000524558,0.000259661,0.000512367,0.000327821,0.000493848,0.001466324,0.001824098,0.001864433,0.00257142,0.000122122,0.000448993,-6.86e-05,0.000523671,Incongruent,Participant 14,-4.9e-05,0.000493304,-0.000181186,0.000387037,-0.00065484,0.000544709,-0.000400063,0.000672656,-0.000677893,0.000687521,-0.000845346,0.001178177,0.001206389,0.001393647,-0.000295203,0.00049584,-9.34e-05,0.00032698,0.001199945,0.000607618,-0.000343292,0.000635902,-0.000121993,0.000631787,-0.000265249,0.000701522,2.15e-05,0.00084562,-0.000222374,0.000527522,0.000197436,0.000391616,0.000209138,0.000472911,-0.000266287,0.001164585,-0.000151109,0.000842765,-0.000468248,0.000972494,2,High
-0.001727587,0.000752516,-0.001674732,0.0006973,-0.001810045,0.000758428,-0.001848867,0.000779968,-0.00178283,0.000794953,-0.000444483,0.001532554,-0.00150322,0.000907368,-0.000119289,0.001065161,-0.001010302,0.000904206,-0.000724674,0.000893349,-0.000378098,0.000152248,-0.000367333,0.000181298,-0.000502453,0.000216836,-0.000553296,0.000200975,-0.000618917,0.000200828,-2.81e-05,0.00020617,-0.00038588,0.000471823,-0.00146038,0.000708503,-0.000535674,0.000474339,-5.45e-05,0.000395412,Incongruent,Participant 15,0.001773514,0.000742106,0.001719247,0.000678531,0.001919751,0.000742931,0.002001448,0.000751864,0.001917594,0.000784243,0.000329609,0.001835119,0.001214024,0.000788834,-0.000124726,0.001257624,0.00103678,0.001030627,0.000551692,0.000869636,0.000433134,0.000168405,0.000476223,0.000220375,0.00054163,0.000232024,0.000629736,0.000235642,0.00063862,0.000216623,-7.29e-05,0.000249074,0.000348683,0.00044064,0.00127525,0.000728187,0.000532374,0.000544773,8.06e-05,0.0004106,0,Low
-5.11e-05,0.000107946,-0.000109565,0.000111444,-0.000220612,0.000128811,-0.000251804,0.000137864,-0.000191088,0.000122508,0.000445919,9.03e-05,0.000434251,6.88e-05,7.29e-05,6.52e-05,-0.000290525,0.000104679,-0.000125442,9.2e-05,0.000535597,0.000715925,0.000643097,0.000961609,0.00208661,0.000950524,0.000645815,0.000682785,0.000302913,0.000322064,-0.000378898,0.000156975,-0.00040925,0.000136773,-0.00032772,0.000126673,-0.002884468,0.001216336,-0.001199333,0.001973865,Incongruent,Participant 16,0.000144152,0.000188958,0.00025237,0.000158282,0.000368745,0.000134768,0.000620426,0.000150118,0.000332426,0.000183986,-0.000161431,7.81e-05,-0.000256378,7.3e-05,-2.42e-05,0.00011207,0.000465859,0.000189409,0.000268873,0.000183293,-0.000284147,0.000807087,-0.000388843,0.00115037,-0.00232732,0.001135989,-0.000445235,0.000821293,-0.000537328,0.00037457,0.000346361,0.000173686,0.000457159,0.000157489,0.000374972,0.000143606,0.003615335,0.001590279,0.000748191,0.001533766,1,Mid
0.000402386,0.000391092,0.000242705,0.000229334,0.00033946,0.000236866,0.000383881,0.000265964,0.000260349,0.000329225,0.001090354,0.001125369,0.00025762,0.000925221,-0.002989045,0.001194351,-0.000355759,0.002119379,0.001907092,0.002314506,0.000197096,0.000567207,-3.67e-05,0.000433039,0.00011112,0.000365789,0.000280251,0.000373615,0.000192558,0.0003424,0.002145412,0.000886998,0.001714277,0.001271752,-0.001094696,0.000551372,0.000168635,0.000601721,0.000497047,0.000461492,Incongruent,Participant 17,-0.00040233,0.000266095,-0.000592362,0.000296499,-0.000442964,0.000230246,-0.000229859,0.00022383,-9.79e-05,0.000223886,-0.000650392,0.000985504,0.000133527,0.000764858,0.003715696,0.001428447,0.000789726,0.002711938,-0.00201282,0.00288105,-0.000387476,0.000638613,-0.00074911,0.000561476,-0.000676634,0.000441102,-0.000556056,0.000442374,-0.0002513,0.000381134,-0.002642151,0.001062434,-0.002508395,0.001617492,0.001108183,0.00075462,-0.000329589,0.000748163,-0.000620197,0.000579601,0,Low
-3.16e-05,7.18e-05,0.000275851,0.00036969,-8.95e-05,9.1e-05,-0.000192307,0.000112085,-0.000190012,9.88e-05,-0.000746523,0.000447735,-0.000619435,0.000377918,-0.000408004,0.000302631,-0.000492038,0.000344035,-0.000538689,0.000386939,2.61e-06,0.000615826,-8.22e-05,0.000581905,0.000216908,0.000565133,-0.000183085,0.000419188,-0.000105236,0.000393649,0.000525185,0.001326027,-0.00012696,0.000564258,0.000288183,0.000209559,0.000112414,0.00016462,0.000213081,0.000176441,Incongruent,Participant 18,-0.000170138,0.000126377,-0.000196942,0.000380681,1.17e-05,0.000103073,0.000167355,0.000138755,3.16e-05,0.000118463,0.000658211,0.000560677,0.000636674,0.000482338,0.000200841,0.000350581,0.000566675,0.000440957,0.000478012,0.000443023,-0.000353017,0.000795958,-0.00031204,0.000599949,-0.00086691,0.000703909,-5.13e-05,0.000546145,-7.6e-05,0.000481798,-0.000473877,0.000853723,-0.000437634,0.000427838,-0.000554491,0.000265167,-0.00049299,0.000263218,-0.000390532,0.0002009,1,Mid
-0.00065257,0.000402703,-0.000314634,0.000208446,-0.000650309,0.000284908,-0.000839407,0.000359013,8.68e-05,0.000136918,-3.5e-05,0.000132112,0.000920552,0.000420575,-0.00016123,0.000421985,0.000951967,0.000657892,0.001008309,0.000790611,0.000202072,0.000411663,0.000188885,0.000369214,2.25e-05,0.000342389,-8.42e-05,0.000369439,0.000297469,0.000271124,0.001891657,0.001372128,0.002175028,0.001480807,-0.000389612,0.000611846,-0.000890257,0.000417915,-0.000835488,0.000404703,Incongruent,Participant 19,-0.001562097,0.000590125,-0.000701005,0.000315486,-0.000490169,0.000283557,-0.000301849,0.000248766,-6.1e-05,0.000148785,5.39e-05,0.000162802,-0.000596804,0.000335621,-0.000111124,0.00043553,-0.001482103,0.000811449,-0.001808107,0.000963603,-0.000203988,0.000455399,-0.000425558,0.000456238,-0.000312074,0.000432062,-4.68e-05,0.000441528,-0.000311088,0.00038265,-0.002406199,0.001712055,-0.002707685,0.001926624,0.000617672,0.000612023,0.00057399,0.000385202,0.00071286,0.000422584,1,Mid
-5.34e-05,0.000225457,-0.000496236,0.00119747,0.000205562,0.000109605,8.38e-05,0.000151609,2.78e-05,0.000138131,-0.000140766,0.000171643,0.000136089,0.000160288,4.32e-05,0.000205221,0.000116546,0.000330253,0.000204398,0.000149028,0.000301648,0.000200427,-0.000338874,0.000178557,-4.34e-05,0.000178675,0.000318592,0.000229812,-0.00021407,0.000193783,2.89e-05,0.000100793,-0.000115705,9.61e-05,1.22e-05,8.25e-05,2.06e-05,8.86e-05,7.95e-06,0.000117676,Incongruent,Participant 20,7.93e-05,0.000265005,0.000823965,0.00150048,-0.000268727,0.000116526,-5.85e-05,0.000187831,4.93e-05,0.000144551,0.000206933,0.000203373,-0.000120243,0.000192746,1.07e-05,0.000244913,-6.61e-05,0.000380078,-0.000210146,0.000178557,-0.000405245,0.000240563,0.000455818,0.000219548,-9.96e-07,0.000217324,-0.000424467,0.000289601,0.000223129,0.000246987,-3.73e-06,0.000118925,0.000175617,0.000117671,2.15e-05,0.000101508,-2.75e-05,9.89e-05,1.46e-05,0.000140797,1,Mid
